ID,Total_Screentime,Average_Total_Screentime
1001048,18.0,19.36
1001049,12.0,19.36
1001050,21.0,19.36
1001051,12.0,19.36
1001052,12.5,19.36
1001053,15.0,19.36
1001054,16.5,19.36
1001055,23.5,19.36
1001056,21.5,19.36
1001057,37.0,19.36
1001058,18.0,19.36
1001059,10.0,19.36
1001060,13.0,19.36
1001061,19.5,19.36
1001062,16.0,19.36
1001063,11.0,19.36
1001064,9.0,19.36
1001065,19.5,19.36
1001066,44.0,19.36
1001067,19.0,19.36
1001068,13.0,19.36
1001069,9.5,19.36
1001070,15.0,19.36
1001071,31.5,19.36
1001072,18.0,19.36
1001073,28.0,19.36
1001074,8.0,19.36
1001075,22.0,19.36
1001076,11.5,19.36
1001077,10.0,19.36
1001078,11.5,19.36
1001079,20.0,19.36
1001080,10.0,19.36
1001081,23.0,19.36
1001082,10.0,19.36
1001083,25.0,19.36
1001084,26.0,19.36
1001085,16.0,19.36
1001086,14.0,19.36
1001087,30.0,19.36
1001088,7.0,19.36
1001089,1.5,19.36
1001090,34.0,19.36
1001091,15.0,19.36
1001092,20.5,19.36
1001093,19.5,19.36
1001094,13.0,19.36
1001095,15.5,19.36
1001096,16.5,19.36
1001097,27.0,19.36
1001098,17.5,19.36
1001099,36.0,19.36
1001100,9.5,19.36
1001101,21.0,19.36
1001102,13.5,19.36
1001103,10.0,19.36
1001104,14.5,19.36
1001105,30.5,19.36
1001106,16.5,19.36
1001108,17.0,19.36
1001109,52.0,19.36
1001110,13.0,19.36
1001112,13.0,19.36
1001113,21.5,19.36
1001114,16.5,19.36
1001115,17.0,19.36
1001116,20.0,19.36
1001117,26.0,19.36
1001118,13.0,19.36
1001119,20.0,19.36
1001120,26.0,19.36
1001121,13.5,19.36
1001122,15.0,19.36
1001123,13.5,19.36
1001124,7.0,19.36
1001125,14.0,19.36
1001126,22.5,19.36
1001127,18.5,19.36
1001128,32.0,19.36
1001129,12.5,19.36
1001130,6.5,19.36
1001131,6.0,19.36
1001132,14.0,19.36
1001133,25.5,19.36
1001134,15.0,19.36
1001135,9.5,19.36
1001136,28.0,19.36
1001137,21.0,19.36
1001138,18.0,19.36
1001139,5.0,19.36
1001140,15.5,19.36
1001141,25.0,19.36
1001142,30.5,19.36
1001143,16.0,19.36
1001144,12.0,19.36
1001145,20.5,19.36
1001146,30.0,19.36
1001147,20.0,19.36
1001148,17.5,19.36
1001149,39.0,19.36
1001150,17.0,19.36
1001151,13.0,19.36
1001152,30.0,19.36
1001153,11.0,19.36
1001155,16.0,19.36
1001156,26.0,19.36
1001157,12.0,19.36
1001158,39.0,19.36
1001159,46.0,19.36
1001160,4.5,19.36
1001161,14.0,19.36
1001162,31.0,19.36
1001163,22.5,19.36
1001164,12.5,19.36
1001165,25.0,19.36
1001166,14.0,19.36
1001167,20.0,19.36
1001168,3.5,19.36
1001169,17.0,19.36
1001170,12.0,19.36
1001171,17.0,19.36
1001172,16.0,19.36
1001173,36.0,19.36
1001174,19.5,19.36
1001175,16.0,19.36
1001176,13.5,19.36
1001177,34.0,19.36
1001178,21.0,19.36
1001179,34.0,19.36
1001180,11.0,19.36
1001181,22.5,19.36
1001182,13.0,19.36
1001183,15.0,19.36
1001184,16.0,19.36
1001185,28.0,19.36
1001186,15.0,19.36
1001187,16.0,19.36
1001188,9.5,19.36
1001189,37.0,19.36
1001190,16.5,19.36
1001191,24.0,19.36
1001192,9.5,19.36
1001193,29.0,19.36
1001194,23.0,19.36
1001195,11.0,19.36
1001196,11.5,19.36
1001197,26.0,19.36
1001198,18.5,19.36
1001199,15.0,19.36
1001200,17.0,19.36
1001201,20.5,19.36
1001202,24.0,19.36
1001203,10.5,19.36
